Cohort_ID,ATLAS_ID,HERA_ID,Label,Short,"Category [WHO, from AAPC and ICD-10 grouping]",ICD-10,Acute or Chronic,Delay,Lookback
11111,2563,24134003,"  Neck pain cohort: First occurrence of ""neck pain"" concept Without descendants",Neck pain,Diseases of the musculoskeletal system and connective tissue,M54.2,Chronic,N/A,3
11112,2564,24609003,  Hypoglycemia disorder incident cohort: First occurrence + descendants with >=1095d prior observation,Hypoglycemia,"Endocrine, nutritional and metabolic diseases",E16.2,Chronic,?,3
11113,2565,31317003,  Dysphagia incident cohort: First occurrence of Dysphagia and Difficulty swallowing descendants with >=1095d prior observation,Dysphagia,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R13,Chronic,N/A,3
11114,2566,31967003,"  Nausea Events All Events of referent concept ""Nausea + descendants"" with 30 day gap",Nausea,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R11.0,Chronic,N/A,3
11115,2567,75860003,  Constipation Events: all occurrence of referent concept + descendants with 30 days gap,Constipation,Diseases of the digestive system,K59.0,Chronic,N/A,3
11116,2568,80180003,  Osteoarthritis incident cohort: First occurrence of osteoarthritis concept  with >=1095d prior observation,Osteoarthritis,Diseases of the musculoskeletal system and connective tissue,M19.9,Chronic,7.7 years,10
11117,2569,80502001,  Osteoporosis referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Osteoporosis,Diseases of the musculoskeletal system and connective tissue,M81,Chronic,~1 week,3
11118,2570,80809003,  Rheumatoid arthritis at first diagnosis (no history of Rheumatoid arthritis),Rheumatoid arthritis,Diseases of the musculoskeletal system and connective tissue,M06,Chronic,14.2 months,3
11119,2571,81893003,  Ulcerative colitis at first diagnosis with no history of ulcerative colitis,Ulcerative colitis,Diseases of the digestive system,K51,Chronic,"~7.5 years, although likely less now since this paper is old",10
11120,2572,81931004,  Psoriatic arthritis,Psoriatic arthritis,Diseases of the skin and subcutaneous tissue,L40,Chronic,2.5 years,3
11121,2573,132702003,  Erythema multiforme  incident cohort: First occurrence of Erythema multiforme or Stevens Johnson Syndrome concept with >=1095d prior observation,Erythema multiforme,Diseases of the skin and subcutaneous tissue,L51,Chronic,?,3
11122,2574,132797003,"  Sepsis during hospitalization, defined by condition occurrences of sepsis conceptset occurring between start and end of inpatient visit",Sepsis,Certain infectious and parasitic diseases,A41,Acute,,1
11123,2575,133444001,  Thyroiditis referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Thyroiditis,"Endocrine, nutritional and metabolic diseases",E06,Chronic,23 days,3
11124,2576,133834005,  Atopic dermatitis and Eczema at first diagnosis,Atopic dermatitis and eczema,Diseases of the skin and subcutaneous tissue,L20,Chronic,N/A,3
11125,2577,134442005,  Systemic sclerosis or or localized scleroderma at first diagnosis,Sclerosis,Diseases of the musculoskeletal system and connective tissue,M34,Chronic,?,3
11126,2578,137977001,  Jaundice referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Jaundice,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R17,Chronic,N/A,3
11127,2579,138379003,"  Chronic lymphoid leukemia, disease referent concept prevalent cohort: First occurrence of updated concept set + descendants (condition and observation domain)",Chronic lymphoid leukemia,Neoplasms,C91,Chronic,?,3
11128,2580,138994001,  Myelodysplastic syndrome referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Myelodysplastic syndrome,Neoplasms,D46,Chronic,128 days,3
11129,2581,139803005,"  Transverse myelitis events, using diagnosis codes from Marrie MSRD 2018",Transverse myelitis,Diseases of the nervous system,G37,Chronic,?,3
11130,2582,140168003,  Psoriasis at first diagnosis (no history of Psoriasis),Psoriasis,Diseases of the skin and subcutaneous tissue,L40,Chronic,?,3
11131,2583,140352001,"  Acute myeloid leukemia, disease referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation",Acute myeloid lymphoma,Neoplasms,C92,Chronic,?,3
11132,2584,140673001,  Hypothyroidism referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Hypothyroidism,"Endocrine, nutritional and metabolic diseases",E05,Chronic,6.1 years,10
11133,2585,141456001,  Chilblains referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Chilblains,"Injury, poisoning and certain other consequences of external causes",T69.1,Acute,,1
11134,2586,192671003,"  Gastrointestinal bleeding events, defined by condition occurrences of Gastrointestinal hemorrhage GI bleeding conceptset occurring between start and end of inpatient or ER visit",Gastrointestinal bleeding,Diseases of the digestive system,K92,Acute,,1
11135,2587,192675003,"  Primary biliary cirrhosis for first time in patients history, with exclusion of secondary biliary cirrhosis",Cirrhosis,Diseases of the digestive system,K74,Chronic,?,3
11136,2588,194133001,  Low back pain referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Lower back pain,Diseases of the musculoskeletal system and connective tissue,M54.5,Chronic,N/A,3
11137,2589,194992001,  Celiac disease referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Celiac disease,Diseases of the digestive system,K90.0,Chronic,9.1 months,3
11138,2590,197320004,"  Acute kidney injury diagnosis during hospitalization, defined by condition occurrences of acute renal failure conceptset occurring between start and end of inpatient visit",Acute kidney injury,Diseases of the genitourinary system,N17,Acute,,1
11139,2591,197494004,"  Hepatitis C prevalent cohort:  First condition occurrence of Hepatitis C conceptset (with Viral Hepatitis Carrier, Cirrhosis of liver due to chronic hepatitis C)",Hepatitis C,Certain infectious and parasitic diseases,B18,Chronic,74.88 weeks,3
11140,2592,197508001,  Malignant tumor of urinary bladder referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Malignant tumor of bladder,Neoplasms,C67,Chronic,243 days,3
11141,2593,198571003,"  Cardiogenic shock by Vallabhajosyula, All events of Cardiogenic shock during inpatient or ER",Cardiogenic shock,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R57,Acute,,1
11142,2594,198985001,  Primary malignant neoplasm of kidney referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Malignant neoplasm of kidney,Neoplasms,C64,Chronic,?,3
11143,2595,199074003,  Acute pancreatitis prevalent cohort: defined by condition occurrences of Acute pancreatitis conceptset occurring between start and end of inpatient or ER visit,Acute pancreatitis,Diseases of the digestive system,K85,Acute,,1
11144,2596,200219001,  Abdominal pain referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Abdominal pain,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10,Chronic,N/A,3
11145,2597,201214001,  Toxic shock syndrome referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Toxic shock syndrome,Certain infectious and parasitic diseases,A48.3,Acute,,1
11146,2598,201254003,  Type 1 diabetes mellitus incident cohort: First occurrence of Type 1 diabetes mellitus concept with >=1095d prior observation,Type 1 diabetes,"Endocrine, nutritional and metabolic diseases",E10,Chronic,?,3
11147,2599,201340001,  Gastritis referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Gastritis,Diseases of the digestive system,K29,Chronic,3.6 years,10
11148,2600,201606003,  Crohns disease for first time with no history (Thirumurthi),Crohn's disease,Diseases of the digestive system,K50,Chronic,9 months,3
11149,2601,201620001,  Kidney stone referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Kidney stone,Diseases of the genitourinary system,N20,Acute,,1
11150,2602,201826005,  Type 2 diabetes mellitus incident cohort: First condition occurrence of Type 2 diabetes mellitus conceptset or Type 2 diabetes treatment or HbA1c > 6.5 and no prior observation of History of diabetes,Type 2 diabetes,"Endocrine, nutritional and metabolic diseases",E11,Chronic,2.4 years,10
11151,2603,254443003,  Sjogrens syndrome at first diagnosis,Sjogren's,Diseases of the musculoskeletal system and connective tissue,M35,Chronic,115 weeks,3
11152,2604,255573003,"  Hospitalization for Chronic obstructive pulmonary disease, defined by inpatient visit with a primary condition occurrence of COPD conceptset",Hospitalization for COPD,Diseases of the respiratory system,J44,Acute,?,1
11153,2605,255848004,"  Pneumonia prevalent cohort: Episodes of pneumonia, defined by condition occurrences of pneumonia conceptset",Pneumonia,Diseases of the respiratory system,J18.9,Acute,,1
11154,2606,257007001,  Allergic rhinitis referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Allergic rhinitis,Diseases of the respiratory system,J30.9,Chronic,2 years,3
11155,2607,257628003,  Systemic lupus erythematosus (SLE) at first diagnosis,Systemic lupus erythematosus,Diseases of the musculoskeletal system and connective tissue,M32,Chronic,~5-10 month medians,3
11156,2608,312327003,"  Acute myocardial infarction events, defined by condition occurrences of Acute myocardial Infarction conceptset occurring between start and end of inpatient or ER visit",Acute myocardial infarction,Diseases of the circulatory system,I21,Acute,,1
11157,2609,312437003,"  Dyspnea prevalent cohort:  Episodes of dyspnea, defined by condition occurrences of shortness of breath (dyspnea) conceptset",Dyspnea,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R06,Chronic,N/A,3
11158,2610,312939001,  Thromboangiitis obliterans referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Thromboangiitis obliterans,Diseases of the circulatory system,I73.1,Chronic,?,3
11159,2611,313217006,"  Atrial fibrillation incident cohort: First occurrence of Atrial fibrillation with descendants with >=1095d prior observation, removing family history code",Atrial fibrillation,Diseases of the circulatory system,I48,Acute,,1
11160,2612,313223001,  Granulomatosis with polyangiitis referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Granulomatosis,Diseases of the musculoskeletal system and connective tissue,M31.1,Chronic,4 months,3
11161,2613,313459001,  Sleep apnea referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Sleep apnea,Diseases of the nervous system,G47.33,Chronic,~7 years,10
11162,2614,313800003,"  Thrombotic microangiopathy events, based on diagnosis codes from Reynolds AJKD 2003 and Perkins NDT 2006",Thrombotic microangiopathy,Diseases of the musculoskeletal system and connective tissue,M31.1,Acute,?,1
11163,2615,314381003,"  Multi-system inflammatory syndrome (Kawasaki disease or toxic shock syndrome) episodes, defined by condition occurrences of Toxic shock syndrome or kawasaki disease conceptset",Multi-system inflammatory syndrome,Diseases of the musculoskeletal system and connective tissue,M35.81,Chronic,?,3
11164,2616,314383003,"  Myocarditis by SundbÃ¸ll, First diagnosis of custom codes from SundbÃ¸ll, during inpatient or outpatient",Myocarditis,Diseases of the circulatory system,I51,Chronic,?,3
11165,2617,316139001,  Heart failure referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Heart failure,Diseases of the circulatory system,I50,Acute,,1
11166,2618,316866003,  Hypertensive disorder prevalent cohort:  First condition occurrence of Hypertension conceptset,Hypertension,Diseases of the circulatory system,I10,Chronic,N/A,3
11167,2619,317009003,"  Hospitalization for Asthma, defined by inpatient visit with a primary condition occurrence of asthma conceptset",Hospitalization for asthma,Diseases of the respiratory system,J45,Chronic,,3
11168,2620,318736003,  Migraine incident cohort: First occurrence of Migraine excluding abdominal migraine+ descendants excluding abdominal migraine with >=1095d prior observation,Migraine incident,Diseases of the nervous system,G43,Chronic,>5 years,10
11169,2621,318800003,  Gastroesophageal reflux disease incident cohort: First occurrence of GERD concept with >=1095d prior observation,Gastroesophageal reflux,Diseases of the digestive system,K21,Chronic,?,3
11170,2622,319049003,  Acute respiratory failure incident cohort: First occurrence of Acute respiratory failure conceptset with >=1095d prior observation,Acute respiratory failure,Diseases of the respiratory system,J96,Acute,,1
11171,2623,321052001,  Peripheral vascular disease referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Peripheral vascular disease,Diseases of the circulatory system,I73.9,Chronic,?,3
11172,2624,372328001,  Otitis media referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Otitis media,Diseases of the ear and mastoid process,H66.9,Acute,,1
11173,2625,373503003,"  Transient ischemic attack events, defined by condition occurrences of Transient cerebral Ischemia (TCA) conceptset occurring between start and end of inpatient or ER visit",Transient ischemic attack,Diseases of the nervous system,G45,Acute,,1
11174,2626,374021003,"  Acute disseminated encephalomyelitis hospitalization events, using diagnosis codes from Minegishi 2019",Acute disseminated encephalomyelitis,Diseases of the nervous system,G04.0,Acute,,1
11175,2627,374919003,  Multiple Sclerosis (MS) at first diagnosis,Multiple Sclerosis,Diseases of the nervous system,G35,Chronic,9 months,3
11176,2628,374954001,  Optic neuritis referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Optic neuritis,Diseases of the ear and adnexa,H46,Acute,,1
11177,2629,376713003,"  Hemorrhagic stroke events, defined by condition occurrences of intracranial bleed Hemorrhagic stroke conceptset occurring between start and end of inpatient or ER visit",Hemorrhagic stroke,Diseases of the circulatory system,I60,Acute,,1
