cohort_definition_id,condition_concept_id,concept_name,num_females_COHORT,num_males_COHORT,num_females_this_symptom,num_males_this_symptom,avg_TTD_females_days,avg_TTD_males_days,std_TTD_females_days,std_TTD_males_days
11135,440320,Infection due to Escherichia coli,371,178,6,4,259.0,419.75,189.7331459357238,387.8745770220059
11135,440321,Helicobacter-associated disease,371,178,5,1,393.8,957.0,388.06824142153147,0.0
11135,44783618,Heritable pulmonary arterial hypertension,371,178,1,3,614.0,566.0,0.0,316.1360466634579
11135,4341763,Gallstone acute pancreatitis,371,178,1,1,291.0,0.0,0.0,0.0
11135,4104196,Familial dysautonomia,371,178,1,1,375.0,750.0,0.0,0.0
11135,436230,Blood chemistry abnormal,371,178,37,36,202.72972972972974,373.97222222222223,279.59301006696376,357.294267618219
11135,436231,Abnormal findings diagnostic imaging of liver+biliary tract,371,178,14,16,319.2857142857143,187.4375,252.66053696368078,211.00413762234618
11135,440329,Herpes zoster without complication,371,178,7,1,395.2857142857143,799.0,376.832556330002,0.0
11135,141323,Acute maxillary sinusitis,371,178,1,1,315.0,5.0,0.0,0.0
11135,436238,Elevated levels of transaminase & lactic acid dehydrogenase,371,178,11,8,211.72727272727272,243.125,242.57223513048305,271.10857488283176
11135,133141,Tinea pedis,371,178,1,2,491.0,639.5,0.0,105.5
11135,198678,Intestinal infectious disease,371,178,4,1,509.25,637.0,229.69803547266136,0.0
11135,198683,Viral hepatitis B without hepatic coma,371,178,4,3,267.25,353.3333333333333,162.61053932633027,360.73659211242887
11135,40484892,Imaging of biliary tract abnormal,371,178,1,2,718.0,88.5,0.0,65.5
11135,4188191,Disorder of skin pigmentation,371,178,1,1,1093.0,639.0,0.0,0.0
11135,24609,Hypoglycemia,371,178,2,2,732.0,295.5,229.0,295.5
11135,4280354,Nutritional anemia,371,178,3,1,323.3333333333333,107.0,102.60062811157098,0.0
11135,4130851,Injury of upper extremity,371,178,1,1,323.0,635.0,0.0,0.0
11135,4153380,Disorder of carotid artery,371,178,5,2,437.8,199.0,393.3570388336784,158.0
11135,30753,Esophagitis,371,178,5,3,280.8,104.0,299.1664419683465,121.10326172320876
11135,79908,Muscle weakness,371,178,3,1,514.6666666666666,8.0,116.49988078200862,0.0
11135,260139,Acute bronchitis,371,178,10,1,373.0,794.0,371.1261241141615,0.0
11135,40484908,Imaging of brain abnormal,371,178,4,5,282.5,99.6,284.33474989877686,125.21437617142851
11135,4319280,Acute bowel infarction,371,178,2,1,396.5,98.0,356.5,0.0
11135,440371,Disorder of immune function,371,178,5,4,323.2,192.25,369.2605584137033,214.3914352300483
11135,321588,Heart disease,371,178,12,8,272.75,368.125,294.76293440661766,259.08658663659145
11135,440372,Acquired thrombocytopenia,371,178,3,4,258.0,290.75,309.11163032147465,418.2854139221209
11135,200762,Autoimmune hepatitis,371,178,18,6,247.38888888888889,224.66666666666666,250.1382148797138,218.4251715246106
11135,200763,Chronic hepatitis,371,178,12,10,453.75,284.8,402.6806271724529,303.8169843836911
11135,321596,Peripheral venous insufficiency,371,178,8,1,451.25,728.0,396.17507178014114,0.0
11135,200765,Chronic cholecystitis,371,178,3,2,202.66666666666666,156.5,156.34221723158748,153.5
11135,45766714,Inflammatory dermatosis,371,178,11,9,613.0909090909091,214.77777777777777,344.0307741376039,149.67503894755004
11135,137275,Disorder of muscle,371,178,5,2,202.2,298.0,210.1336717425363,298.0
11135,4216894,Precipitous drop in hematocrit,371,178,6,2,136.33333333333334,78.5,198.93270777381537,78.5
11135,440383,Depressive disorder,371,178,13,7,329.46153846153845,406.0,356.39576432444085,330.48535735879653
11135,194993,Intestinal malabsorption,371,178,3,3,461.0,736.6666666666666,269.5564257565875,205.11189358223206
11135,4108356,Cerebral infarction due to embolism of cerebral arteries,371,178,2,1,233.5,626.0,233.5,0.0
11135,4317258,Disorder of skin,371,178,2,1,315.0,84.0,308.0,0.0
11135,75860,Constipation,371,178,37,9,363.5405405405405,336.0,320.98662046668977,348.90145058773004
11135,440417,Pulmonary embolism,371,178,4,3,267.0,402.3333333333333,254.53683426962002,434.76379282957265
11135,26727,Hematemesis,371,178,4,5,136.0,224.8,120.8614909721041,229.18673609090033
11135,196715,Budd-Chiari syndrome,371,178,1,1,33.0,490.0,0.0,0.0
11135,28779,Bleeding esophageal varices,371,178,4,6,134.75,215.5,149.08952847198893,333.4010347914355
11135,254061,Pleural effusion,371,178,21,30,254.8095238095238,198.73333333333332,328.3223762804477,281.28999666220307
11135,254062,Acute chest syndrome,371,178,2,2,267.0,447.5,253.0,412.5
11135,73840,"Localized, primary osteoarthritis of the shoulder region",371,178,3,2,373.0,352.5,391.1598138868562,282.5
11135,4272240,Malaise,371,178,6,11,316.3333333333333,372.54545454545456,217.90874746604877,338.816754881499
11135,313459,Sleep apnea,371,178,2,3,476.0,375.3333333333333,127.0,289.9590009332737
11135,436339,Bacterial infection due to Klebsiella pneumoniae,371,178,2,4,429.5,97.0,343.5,150.10329776523898
11135,196726,Gallbladder calculus with acute cholecystitis and no obstruction,371,178,2,2,479.5,6.5,216.5,6.5
11135,135287,Non-neoplastic nevus,371,178,2,1,178.5,146.0,59.5,0.0
11135,75897,Polyarthropathy,371,178,1,1,399.0,936.0,0.0,0.0
11135,4241530,Asymptomatic human immunodeficiency virus infection,371,178,1,4,197.0,304.25,0.0,381.0363335693855
11135,432250,Disorder due to infection,371,178,1,2,803.0,140.0,0.0,140.0
11135,194684,Crohn's disease of large bowel,371,178,4,4,334.75,560.0,400.12896358549204,374.0568138665569
11135,40480893,Nonspecific tuberculin test reaction,371,178,4,1,262.75,202.0,301.53886565416406,0.0
11135,438398,Leukocytosis,371,178,11,3,448.54545454545456,185.33333333333334,332.221000823894,235.236523997066
11135,194686,Acquired renal cystic disease,371,178,9,9,308.0,540.3333333333334,207.87549692597784,319.15374212299486
11135,376961,Disturbance of consciousness,371,178,2,1,155.0,5.0,153.0,0.0
11135,379010,Epiretinal membrane,371,178,1,1,53.0,344.0,0.0,0.0
11135,80004,Injury of hand,371,178,1,1,1048.0,102.0,0.0,0.0
11135,75909,Disorder of bone,371,178,20,6,287.55,354.8333333333333,358.68586186243806,350.48319820245626
11135,4079750,Osteoarthritis of knee,371,178,6,1,327.3333333333333,875.0,348.6448367927198,0.0
11135,45770886,Disorder of plasma protein metabolism,371,178,3,2,454.3333333333333,53.5,127.17529459590631,29.5
11135,194692,Cirrhosis - non-alcoholic,371,178,37,37,309.5135135135135,360.0810810810811,350.9641254956873,375.7054178387981
11135,137351,Epidermoid cyst of skin,371,178,2,1,395.5,742.0,30.5,0.0
11135,317576,Coronary arteriosclerosis,371,178,12,6,491.25,279.1666666666667,352.83025309630125,231.37805763631857
11135,379019,Conjunctivitis,371,178,1,1,910.0,281.0,0.0,0.0
11135,200843,Finding of frequency of urination,371,178,8,4,425.75,628.25,204.2086861521811,393.85427190777045
11135,4171917,Localized edema,371,178,14,5,221.14285714285714,224.4,192.12379087559188,310.8122262717476
11135,374919,Multiple sclerosis,371,178,2,1,459.0,449.0,459.0,0.0
