,11112,condition_concept_id,concept_name
1482,0.6355918865253202,24609,Hypoglycemia
10556,0.3168542239348015,45757363,Hypoglycemia due to type 2 diabetes mellitus
1420,0.1433265369729188,201826,Type 2 diabetes mellitus
8559,0.1265166344884406,436222,Altered mental status
8894,0.1195528951702482,437677,Abnormal findings on diagnostic imaging of lung
1057,0.1182591385311531,197320,Acute renal failure syndrome
1713,0.1068815056882729,261880,Atelectasis
6014,0.1024710002848607,4180628,Disorder of body system
7563,0.1017286453448657,432867,Hyperlipidemia
1537,0.099844781542183,254061,Pleural effusion
1797,0.0857637888385738,312437,Dyspnea
2033,0.0854764729630677,320128,Essential hypertension
10736,0.080662909859844,45769876,Hypoglycemia due to type 1 diabetes mellitus
11434,0.0783977167116415,77670,Chest pain
2291,0.0773885929199252,37016349,Hyperglycemia due to type 2 diabetes mellitus
2043,0.0752096395071016,320536,Electrocardiogram abnormal
41,0.0749668276151795,132797,Sepsis
8088,0.0740496960713323,434610,Hyperkalemia
8371,0.0740129568838303,435517,Acidosis
9347,0.0727461253035934,439777,Anemia
1578,0.0720215623025616,255848,Pneumonia
6179,0.071991953503466,4193704,Type 2 diabetes mellitus without complication
11337,0.0714208422756914,764123,Atherosclerosis of coronary artery without angina pectoris
6148,0.0713969786811233,4188331,Chronic pulmonary edema
4013,0.0679425046427689,40484908,Imaging of brain abnormal
8316,0.0677830347793884,43531578,Chronic kidney disease due to type 2 diabetes mellitus
8892,0.0655004952932753,437663,Fever
5455,0.0651955294251753,4144111,Gastroesophageal reflux disease without esophagitis
1774,0.0649011690111344,30361,Hypoglycemic disorder
6536,0.0645188281061918,4233565,Severe protein-calorie malnutrition
7674,0.0639955936689781,433316,Dizziness and giddiness
10244,0.0634768184522272,443732,Disorder due to type 2 diabetes mellitus
10917,0.0628159513893656,46271022,Chronic kidney disease
1265,0.062167505488529,200219,Abdominal pain
11728,0.0615179523803224,81902,Urinary tract infectious disease
8445,0.0604566668301406,435796,Dehydration
2440,0.0596462259398551,372887,Disorder of brain
8757,0.059545116428494,437113,Asthenia
2773,0.0586872034107219,376208,Disorder of soft tissue
11040,0.0581099526827509,73026,Abnormal breath sounds
11263,0.0575075611311094,75860,Constipation
1952,0.0566228294214,317002,Low blood pressure
7786,0.0563279188514969,433736,Obesity
8514,0.0556662447148771,436070,Vitamin D deficiency
2021,0.0542321556429149,319835,Congestive heart failure
1825,0.0536964777164282,313217,Atrial fibrillation
1630,0.0527481864751155,257907,Disorder of lung
1284,0.052671797536959,200528,Ascites
8369,0.0523691664999319,435515,Hypo-osmolality and or hyponatremia
1555,0.0523134486744964,254761,Cough
