,11174,condition_concept_id,concept_name
7956,0.4629920124167492,4190307,Inflammatory disease of the central nervous system
10930,0.2541373290309555,436222,Altered mental status
3156,0.2461672798315658,372887,Disorder of brain
3654,0.1557156967701121,377091,Seizure
11332,0.1512903073964831,437663,Fever
47,0.1447514890259571,132797,Sepsis
3765,0.1186796874249076,378143,Encephalitis
3776,0.1144934275466605,378253,Headache
11170,0.1125702456729764,437113,Asthenia
11334,0.1120014895373066,437677,Abnormal findings on diagnostic imaging of lung
13959,0.109544182030137,46271075,Acute hypoxemic respiratory failure
8727,0.1068282105748444,4256228,Respiratory failure
1259,0.1065695466267213,197320,Acute renal failure syndrome
13068,0.1061815507045366,444070,Tachycardia
2115,0.0996208210568367,312437,Dyspnea
2028,0.0989389601570895,261880,Atelectasis
8834,0.0954980211709959,4268911,Disorientated
3159,0.0951066358383279,372892,Metabolic encephalopathy
10716,0.0948003369871198,435517,Acidosis
10804,0.0935948511859599,435796,Dehydration
11378,0.089497726050596,437833,Hypokalemia
1879,0.0892390621024729,255848,Pneumonia
10714,0.0880750743359189,435515,Hypo-osmolality and or hyponatremia
1854,0.0817378076069027,254761,Cough
11897,0.0809018508196448,439777,Anemia
2060,0.0807031518144103,27674,Nausea and vomiting
1835,0.0794098320737947,254061,Pleural effusion
1524,0.0773405204888098,200219,Abdominal pain
14626,0.0765426385726275,77670,Chest pain
2387,0.0765426385726275,320536,Electrocardiogram abnormal
12841,0.0764506016478191,443454,Cerebral infarction
11537,0.0759178687741327,438398,Leukocytosis
3905,0.0755298728519481,380378,Epilepsy
14797,0.0737192252150863,79908,Muscle weakness
14978,0.0726962748252592,81902,Urinary tract infectious disease
10797,0.0692328783570945,435785,Meningitis
8333,0.0689781232028033,4223659,Fatigue
3332,0.0689438124562285,374021,Acute disseminated encephalomyelitis
2374,0.0679524262035051,320128,Essential hypertension
8875,0.0677699544082548,4272240,Malaise
2143,0.0673113655789437,31317,Dysphagia
3615,0.0669852724018024,376690,Cerebral edema
12544,0.0659010322049087,442077,Anxiety disorder
8950,0.0639778503312246,4282096,"Major depression, single episode"
2290,0.0638899951864081,317002,Low blood pressure
14384,0.0635932139564878,75860,Constipation
2207,0.0622086795236079,314658,Cardiomegaly
12358,0.0614136078329791,441408,Vomiting
8163,0.0602596987087687,4209423,Nicotine dependence
8899,0.060139367938623,4275359,Mental alertness - finding
