,11132,condition_concept_id,concept_name
438,0.2133566096485337,138384,Acquired hypothyroidism
2288,0.1828991712578303,320128,Essential hypertension
8931,0.1684495958352641,432867,Hyperlipidemia
13524,0.1506838299748095,77670,Chest pain
2039,0.1502781600765823,312648,Benign essential hypertension
449,0.1440836451227014,138525,Pain in limb
2036,0.1440321314848313,312437,Dyspnea
8178,0.1343089323368478,4272240,Malaise
10910,0.1323063396646472,439297,Nuclear senile cataract
1777,0.1295825560622651,254761,Cough
1458,0.1229888104148908,200219,Abdominal pain
856,0.1155450897426597,194133,Low back pain
13864,0.111282336208908,81902,Urinary tract infectious disease
9070,0.1105289492550576,433316,Dizziness and giddiness
10499,0.1055385655863906,437827,Pure hypercholesterolemia
8507,0.1044567791911183,4305080,Abnormal breathing
10992,0.1041863325923002,439777,Anemia
12281,0.1016106506987946,44784217,Cardiac arrhythmia
6699,0.0964335300928484,4150062,Knee pain
1908,0.0954225749496475,260139,Acute bronchitis
2301,0.0953131084691735,320536,Electrocardiogram abnormal
9164,0.0952873516502384,433595,Edema
13842,0.0951063346861146,81611,Diverticular disease of colon
2259,0.0939995107034857,318800,Gastroesophageal reflux disease
2220,0.0937617771611846,317576,Coronary arteriosclerosis
2739,0.0920097964407526,37017182,Joint pain of pelvic region
4736,0.0875989411981243,40481919,Coronary atherosclerosis
13567,0.0854160507933784,78232,Shoulder joint pain
13715,0.0843368835927136,80180,Osteoarthritis
2275,0.0838513240430737,319835,Congestive heart failure
7374,0.0832074035696973,4193704,Type 2 diabetes mellitus without complication
5510,0.0831752075460285,4079750,Osteoarthritis of knee
471,0.083052862656087,138825,Actinic keratosis
2065,0.0828725649235416,313217,Atrial fibrillation
280,0.0827824160572689,135777,Neoplasm of uncertain behavior of skin
6815,0.0811017836217565,4153380,Disorder of carotid artery
1793,0.0810180739602176,255573,Chronic obstructive lung disease
13781,0.08095368191288,80816,Degeneration of intervertebral disc
214,0.0804256671247113,134736,Backache
13478,0.0801165852974906,77234,Benign neoplasm of colon
7514,0.0792279750442312,4206148,Syncope and collapse
1832,0.0777894730365325,257011,Acute upper respiratory infection
2276,0.0760097205639198,319843,Mitral valve disorder
576,0.0758153808229858,140673,Hypothyroidism
570,0.075441722660778,140648,Onychomycosis due to dermatophyte
2320,0.0748106805968692,321052,Peripheral vascular disease
11875,0.0748042413921354,443410,Infective pneumonia
3326,0.0747913629826679,375545,Cataract
3598,0.0743470578560382,378253,Headache
650,0.073690845991939,141932,Senile hyperkeratosis
